"","pub_date","main","score"
"1","1993-01-01","Boathouse Regulars Wonder Just Who Travis Really Was",0.333333333333333
"2","1993-01-01","Review/Art; Homelessness Explored At El Museo del Barrio",0
"3","1993-01-01","New Year's Day",0
"4","1993-01-01","Gates Orders a Revamping Of the C.I.A.'s File System",0
"5","1993-01-01","Chloethiel Woodard Smith, Architect, 82",0
"6","1993-01-01","Does Art Inspire Geese, Too?",0.666666666666667
"7","1993-01-01","U.S. Appeals Court Reverses Ruling in Law Firm Bias Case",0.5
"8","1993-01-01","The Islanders Go Meekly Into the Night",-0.333333333333333
"9","1993-01-01","Pair Who Left Children Home Alone Are Freed",0
"10","1993-01-01","It's Time to Savor the First Tastes of Vintage '93; Film",0.333333333333333
"11","1993-01-01","Today's TV Listings And Dining Reviews",0
"12","1993-01-01","Year on Frozen Pond: Ch, Ch, Ch, Changes",0
"13","1993-01-01","DON'T GET TOO FULL: THE SUGAR IS FOR DESSERT",0
"14","1993-01-01","TV Weekend; A 'Tosca' Performed On Actual Location",0.2
"15","1993-01-01","2 Men Arrested In Fatal Shooting Of Bronx Grocer",-0.333333333333333
"16","1993-01-01","It's Time to Savor the First Tastes of Vintage '93; Books",0.333333333333333
"17","1993-01-01","Europe's Road to Unity",0.333333333333333
"18","1993-01-01","Sports of The Times; Highlight Of the Suns' Honeymoon",0.4
"19","1993-01-01","Adele Bowers, Writer And a Publisher, 78",0
"20","1993-01-01","The Giants Set Their Sights on Coughlin",0
"21","1993-01-01","What's the Good of a Liberal Education Without Philosophy?",0.5
"22","1993-01-01","Corrections",1
"23","1993-01-01","Diner's Journal",0
"24","1993-01-01","Saving on Dining",0.5
"25","1993-01-01","Looking Backward and Forward",0
"26","1993-01-02","Devils' Year Begins Like Day-Old Bubbly",0
"27","1993-01-02","Toll Increase",0
"28","1993-01-02","An Increase in Bias Is Seen Against Pregnant Workers",0
"29","1993-01-02","In Hartford, Data Portray Schools in Crisis of Poverty",-0.333333333333333
"30","1993-01-02","Lost Bowl, and then Coach, at Southern Cal",-0.2
"31","1993-01-02","Romeo Muller Jr., 64, Writer for Animation",0
"32","1993-01-02","Ashikaga Journal; A Festival That Permits Japanese to Be Impolite",0.333333333333333
"33","1993-01-02","Czechs and Slovaks Are Hoping to Find Prosperity in a New Independence",0.428571428571429
"34","1993-01-02","College's Fight to Survive Mirrors Plight of Many Black Campuses",-0.125
"35","1993-01-02","Liberty State Park Is Set To Open Science Center",0.428571428571429
"36","1993-01-02","Alabama Beats Miami to Win Sugar Bowl",-0.166666666666667
"37","1993-01-02","Gasoline Tax Plan Is Reviving",0
"38","1993-01-02","Who Killed Jeffrey Harden?",-0.333333333333333
"39","1993-01-02","Policies for Covering Cost of Long-Term Care",0
"40","1993-01-02","CHRONICLE",0
"41","1993-01-02","The Guns of Virginia",-0.5
"42","1993-01-02","Freedom Under Arrest -- A special report; Burmese Loosen Up; Outsiders Are Skeptical",0
"43","1993-01-02","Bassett Furniture Industries reports earnings for Qtr to Nov 30",0.142857142857143
"44","1993-01-02","Hmm, Haven't We Met Somewhere Before? Yes, in Regular Season",0
"45","1993-01-02","On Lonely Mission, Robot Starts Descent Into Volcano",-0.166666666666667
"46","1993-01-02","Lidak Pharmaceuticals reports earnings for Year to Sept 30",0
"47","1993-01-02","Rescue by Valenzuela",0.5
"48","1993-01-02","Markets Closed",0
"49","1993-01-02","3 Crossing Queens Blvd. Hit and Killed",-0.4
"50","1993-01-02","Teamwork Concept Faces Challenge",-0.25
"51","1993-01-03","In Tune Now, U.N.'s Quintet Plays Themes Penned in '45",0.166666666666667
"52","1993-01-03","Cynthia Hawkins, Daniel Stryker Jr.",0
"53","1993-01-03","Watch For . . . The Free Spirits",0.333333333333333
"54","1993-01-03","Devils Dig Deep and Emerge With a Tie",-0.2
"55","1993-01-03","Bean Dishes to Fight the Chill",-0.25
"56","1993-01-03","Linda A. Kagan and Seth Horowitz",0
"57","1993-01-03","Auguring Well: Trouble on Deck; A Season Called On Account of Greed?",0.25
