"","main","kicker","section_name","pub_date"
"76","Ackman Sheds Some Valeant Shares",NA,"Business Day","2016-01-01 00:00:00"
"79","Justice in Taxes, Most Likely Short-Lived","News Analysis","Business Day","2016-01-01 00:00:00"
"81","A Roller Coaster Year Ends With U.S. Markets Mostly Down",NA,"Business Day","2016-01-01 00:00:00"
"103","BTG Pactual Sells Distressed Debt Unit to Itau Unibanco",NA,"Business Day","2016-01-01 00:00:00"
"120","Jobless Claims Rise, Showing Some Weakness in Hiring",NA,"Business Day","2016-01-01 00:00:00"
"126","The Last (and Most Expensive) Night of the Year",NA,"Business Day","2016-01-01 00:00:00"
"140","BBC Websites Said to Be Target of Online Attack",NA,"Business Day","2016-01-01 00:00:00"
"142","After a Tumultuous Year for Investors, the Experts Look Ahead","Common Sense","Business Day","2016-01-01 00:00:00"
"146","Market Stumbles to the Finish Line in 2015",NA,"Business Day","2016-01-01 00:00:00"
"153","Britain to Review How Airport Shops Collect Sales Tax",NA,"Business Day","2016-01-01 00:00:00"
"157","Edward Hugh, Economist Who Foresaw Eurozone’s Struggles, Dies at 67",NA,"Business Day","2016-01-01 00:00:00"
"164","Telecommuting Can Make the Office a Lonely Place, a Study Says","Applied Science","Business Day","2016-01-02 17:42:16"
"212","5 Years and $7 Later, U.S. Returns a Seized Hip-Hop Site",NA,"Business Day","2016-01-02 00:00:00"
"213","Over 50, Female and Jobless Even as Others Return to Work",NA,"Business Day","2016-01-02 00:00:00"
"215","Universities Offers Classes for Those Interested in Beer",NA,"Business Day","2016-01-02 00:00:00"
"216","Russia to File Suit Against Ukraine for Nonpayment",NA,"Business Day","2016-01-02 00:00:00"
"217","China’s Economy Starts 2016 at Slowest Pace in Years",NA,"Business Day","2016-01-02 00:00:00"
"440","Sheldon Adelson’s Purchase of Las Vegas Paper Seen as a Power Play",NA,"Business Day","2016-01-03 00:00:00"
"448","Ex-N.F.L. Player’s New Team Takes On Challenges of A.L.S.","Prototype","Business Day","2016-01-03 00:00:00"
"449","FASB Proposes to Curb What Companies Must Disclose","Fair Game","Business Day","2016-01-03 00:00:00"
"450","Electrifying India, With the Sun and Small Loans",NA,"Business Day","2016-01-03 00:00:00"
"451","Bringing Solar Power to India’s Poor",NA,"Business Day","2016-01-03 00:00:00"
"462","App Makers Reach Out to the Teenager on Mobile",NA,"Business Day","2016-01-03 00:00:00"
"537","Ann Cairns of MasterCard: The Art and Science of Team Chemistry","Corner Office","Business Day","2016-01-03 00:00:00"
"604","Volkswagen Civil Suit",NA,"Business Day","2016-01-04 00:00:00"
"695","Economists Take Aim at Wealth Inequality",NA,"Business Day","2016-01-04 00:00:00"
"702","Raine Group Finds Deals for Clients, and Itself",NA,"Business Day","2016-01-04 00:00:00"
"703","Girl Scout Cookie Sales Go Digital, With Help From Visa and Dell","Advertising","Business Day","2016-01-04 00:00:00"
"704","Under New Leader, Discovery Channel’s Brand Reboot Shows Promise",NA,"Business Day","2016-01-04 00:00:00"
"708","Auto Sales, the Fed’s December Meeting and Employment Numbers","The Week Ahead","Business Day","2016-01-04 00:00:00"
"718","Treasury Auctions Set for the Week of Jan. 4",NA,"Business Day","2016-01-04 00:00:00"
"729","Boston Globe Employees Help Deliver Paper on Sunday",NA,"Business Day","2016-01-04 00:00:00"
"730","A Standout Year for Deals, in Volume and Complexity",NA,"Business Day","2016-01-04 00:00:00"
"742","Shifting Who Bails Out Troubled Banks in Europe","Political Economy","Business Day","2016-01-04 11:30:00"
"743","New Julian Fellowes Project, ‘Belgravia,’ Treads New Digital Ground",NA,"Business Day","2016-01-04 00:00:00"
"744","Be True to Yourself","Global Manager","Business Day","2016-01-04 11:30:00"
"806","<U+5728><U+5370><U+5EA6>,<U+5B64><U+72EC><U+548C><U+5DE5><U+4E1A><U+7684><U+78B0><U+649E>",NA,"Business Day","2016-01-05 07:22:32"
"882","Lion Point Capital to Nominate 2 Candidates to Ally Financial’s Board",NA,"Business Day","2016-01-05 00:00:00"
"883","A Growing Conflict in Wall St. Buyouts","Dealbook Column","Business Day","2016-01-05 00:00:00"
"886","Puerto Rico Defaults on Debt Payments ",NA,"Business Day","2016-01-05 00:00:00"
"894","Carmakers Set to Grab Spotlight at International CES",NA,"Business Day","2016-01-05 00:00:00"
"901","G.M. Chief Mary Barra Is Named Chairwoman, Affirming Her Leadership",NA,"Business Day","2016-01-05 00:00:00"
"904","F.D.A. Drug Approvals Climb to Highest Level Since 1996",NA,"Business Day","2016-01-05 00:00:00"
"905","A Tepid Debut for Ferrari at the Stock Listing in Milan",NA,"Business Day","2016-01-05 00:00:00"
"917","G.M.’s Investment in Lyft Hedges Against a Future With Fewer Car Owners","Breakingviews","Business Day","2016-01-05 00:00:00"
"919","Fliers Go Their Own Way With Airline Meals","Itineraries","Business Day","2016-01-05 00:00:00"
"924","Chick-fil-A in Manhattan Closes to Address Health Violations",NA,"Business Day","2016-01-05 00:00:00"
"931","Manufacturing Contracts for 2nd Straight Month",NA,"Business Day","2016-01-05 00:00:00"
"946","U.S. Sues Volkswagen in Diesel Emissions Scandal",NA,"Business Day","2016-01-05 00:00:00"
"948","In Cohen and I.B.M. Insider Trading Cases, Challenges for the S.E.C.","White Collar Watch","Business Day","2016-01-05 00:00:00"
"961","Oil Market Settles Lower, Taking Iran-Saudi Dispute in Stride",NA,"Business Day","2016-01-05 00:00:00"
"969","Takata Emails Show Brash Exchanges About Data Tampering",NA,"Business Day","2016-01-05 00:00:00"
"973","If the I.R.S. Is Watching You, You’ll Pay Up",NA,"Business Day","2016-01-05 00:00:00"
"974","Wall St. Slides After Chinese Stocks Plunge",NA,"Business Day","2016-01-05 00:00:00"
"992","Complaint on Yik Yak",NA,"Business Day","2016-01-06 00:00:00"
"1134","Bank Rule Distorting Performance Is Repealed",NA,"Business Day","2016-01-06 00:00:00"
"1136","Las Vegas News Staff Advised on Covering Adelson",NA,"Business Day","2016-01-06 00:00:00"
"1139","Pickups and S.U.V.s Lead Way to a Record Year for Automakers",NA,"Business Day","2016-01-06 00:00:00"
"1146","Relatively Stable Trading in Stocks a Day After Sell-Offs",NA,"Business Day","2016-01-06 00:00:00"
"1148","Chairman of Yum Brands to Retire After 3 Decades",NA,"Business Day","2016-01-06 00:00:00"
