"","main","kicker","section_name","pub_date"
"5","Longer Tenure for Top Fed Bank Executives",NA,"Business","1997-01-01"
"15","Dow Falls 101, Closing Out A Generally Exuberant Year",NA,"Health; Business","1997-01-01"
"19","BUSINESS DIGEST",NA,"Business","1997-01-01"
"34","Singapore's Economy Expanded 6.5% in '96","INTERNATIONAL BRIEFS","Business","1997-01-01"
"40","Copyright Pacts Are Still Facing Foes in Congress",NA,"Technology; Business","1997-01-01"
"52","Sales Incentives Bolster Fiat Shares","INTERNATIONAL BRIEFS","Business","1997-01-01"
"56","U.S. Chain Buying Global Hotel Group",NA,"Business","1997-01-01"
"60","PSC to Pay $99 Million To Expand Shipbuilding","INTERNATIONAL BRIEFS","Business","1997-01-01"
"62","Swiss Economists Lower Their Forecasts","INTERNATIONAL BRIEFS","Business","1997-01-01"
"66","Spain's Santander Hopes to Become No. 1 in Latin America","A Banking Dynasty on the Move","Business","1997-01-01"
"72","COMPANY BRIEFS","COMPANY BRIEFS","Business","1997-01-01"
"82","China to Alter Export Tariff on 18 Items","INTERNATIONAL BRIEFS","Business","1997-01-01"
"85","Bond Prices Post Steep Losses on Strong Economic News",NA,"Business","1997-01-01"
"86","Big Lender in India To Buy Competitor","INTERNATIONAL BRIEFS","Business","1997-01-01"
"90","Why Wall Street Bonuses Were So Big",NA,"Business","1997-01-01"
"96","A Powerful Final Quarter Makes Wall Street's Year",NA,"Business","1997-01-01"
"99","Key Rates","Key Rates","Business","1997-01-01"
"101","Israel Corp. to Raise Chemical Concern Stake","INTERNATIONAL BRIEFS","Business","1997-01-01"
"102","Loews leases space next to its Manhattan headquarters, with an interior passage planned.","Real Estate","Business","1997-01-01"
"110","Correction: Business Inventories and the Economy",NA,"Corrections; Business","1997-01-01"
"130","Executives on the go can expect to shell out more for air fares, hotels and car rentals next year.","Business Travel","Business","1997-01-01"
"150","Tomorrow: Outlook '97",NA,"Business","1997-01-01"
"155","Samsung Loses Chance To Take Over Fokker","INTERNATIONAL BRIEFS","Business","1997-01-01"
"156","Markets Closed",NA,"Business","1997-01-01"
"186","WHAT HAPPENED: A Copper Trader Loses Big","OUTLOOK '97: INTERNATIONAL","Business","1997-01-02"
"188","Pressures For Change Mounting In Russia","OUTLOOK '97: INTERNATIONAL","Business","1997-01-02"
"190","Expansion Control Helps Smooth Airlines' Wild Earnings Ride","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"191","Hong Kong Isn't on Edge Despite China Takeover","OUTLOOK '97: INTERNATIONAL","Business","1997-01-02"
"192","Crackdown On Fraud Intensifies","OUTLOOK '97: MARKETS & INVESTING","Technology; Business","1997-01-02"
"199","Do Computers Lift Productivity? It's Unclear, but Business Is Sold","OUTLOOK '97: MEDIA & TECHNOLOGY","Technology; Business","1997-01-02"
"205","Rising Dollar Has U.S. Executives a Bit Concerned","OUTLOOK '97: MARKETS & INVESTING","Business","1997-01-02"
"209","More Uncertain Times Ahead in the Oil Patch","OUTLOOK '97: MARKETS & INVESTING","Business","1997-01-02"
"214","Outlook '97",NA,"Front Page; Business","1997-01-02"
"218","Sellers in Search of Buyers in a Global Marketplace","OUTLOOK '97: INTERNATIONAL","Business","1997-01-02"
"222","WHAT'S AHEAD: The U.S. Engine","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"224","One Challenger to Cable TV Fades as Another Appears Via Satellite","OUTLOOK '97: MEDIA & TECHNOLOGY","Business","1997-01-02"
"228","WHAT HAPPENED: Latin America Grows","OUTLOOK '97: INTERNATIONAL","Business","1997-01-02"
"235","WHAT HAPPENED: A Disney Divorce","OUTLOOK '97: MEDIA & TECHNOLOGY","Business","1997-01-02"
"238","WHAT'S AHEAD: Hong Kong's New Owner","OUTLOOK '97: INTERNATIONAL","Business","1997-01-02"
"239","Conditions Are Right for a Takeover Frenzy","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"248","Investors See a Correction, Sometime","OUTLOOK '97: MARKETS & INVESTING","Business","1997-01-02"
"249","WHAT HAPPENED: A Boom in Mergers","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"251","WHAT'S AHEAD: Who Will Buy DVD?","OUTLOOK '97: MEDIA & TECHNOLOGY","Business","1997-01-02"
"254","WHAT HAPPENED: Apple Fights for Survival","OUTLOOK '97: MEDIA & TECHNOLOGY","Business","1997-01-02"
"267","WHAT HAPPENED: Europe Downsizes","OUTLOOK '97: INTERNATIONAL","Business","1997-01-02"
"274","The Question Facing Japan: Can Its Vibrant Engine Ever Be Restarted?","OUTLOOK '97: INTERNATIONAL","Business","1997-01-02"
"275","China's Demand for Control Pits Ethics Against Profits","OUTLOOK '97: INTERNATIONAL","Business; Washington","1997-01-02"
"277","WHAT HAPPENED: The Browser War Rages On","OUTLOOK '97: MEDIA & TECHNOLOGY","Business","1997-01-02"
"278","Magazines Multiplying As Their Focuses Narrow","OUTLOOK '97: MEDIA & TECHNOLOGY","Business","1997-01-02"
"280","The Economy in 1997: Good, Bad of More of the Same","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"282","The Crimson Crop Is Plenty Green","OUTLOOK '97: MARKETS & INVESTING","Business","1997-01-02"
"284","Casino Giants Roll, but It's No Sure Thing for the Others","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"286","The Aging Bull's Fate May Be Wrapped in Stock Mutual Funds","OUTLOOK '97: MARKETS & INVESTING","Business","1997-01-02"
"293","Year of Intense Activity Looms for Phone Industry, Experts Say","OUTLOOK '97: MEDIA & TECHNOLOGY","Technology; Business","1997-01-02"
"295","Some Big Rewards and Some Letdowns Overseas","OUTLOOK '97: MARKETS & INVESTING","Business","1997-01-02"
"297","INSIDE","OUTLOOK '97: MARKETS & INVESTING","Business","1997-01-02"
"309","Those Vicious Business Cycles: Tamed but Not Quite Slain","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"311","WHAT HAPPENED: A Bad Year for Cigarette Makers","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"315","INSIDE","OUTLOOK '97","Business","1997-01-02"
"316","The Link Grows Cloudy Between Jobs and Prices","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"320","Debate Over Taxes in '97 Is Likely to Stress 'Relief'","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"322","WHAT HAPPENED: Dismemberment And Downsizing","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"323","A Slow, Steady Outlook From the Perspective of the Corner Office","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"326","Payoff Still Elusive In Internet Gold Rush","OUTLOOK '97: MEDIA & TECHNOLOGY","Technology; Business","1997-01-02"
"329","U.S. Sales Of Autos Expected to Keep Pace","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"336","Merger-Hungry Banks Find the Pickings Slim","OUTLOOK '97: MARKETS & INVESTING","Business","1997-01-02"
"338","Hotels Look For 5th Year Of Growing Profitability","OUTLOOK '97: ECONOMY & INDUSTRY","Business","1997-01-02"
"339","Even if Times Get Tough, the Technology Industry Is Expected to Shine","OUTLOOK '97: MEDIA & TECHNOLOGY","Science; Technology; Business","1997-01-02"
"344","With Euro Poised for Debut, Continent's Economies Creak Along","OUTLOOK '97: INTERNATIONAL","Business","1997-01-02"
"350","In Mexico, an Uneven Recovery","OUTLOOK '97: INTERNATIONAL","Business","1997-01-02"
"351","Stormy Weather?","OUTLOOK '97: MARKETS & INVESTING","Business","1997-01-02"
"354","Four Named To Hall of Fame","THE MEDIA BUSINESS: ADVERTISING -- ADDENDA","Business","1997-01-03"
"372","Key Rates","Key Rates","Business","1997-01-03"
"377","Condominiums Planned For the Mayfair Hotel","About Real Estate","Business","1997-01-03"
"390","TCI'S chairman is dealing again, but will investors profit?","Market Place","Business","1997-01-03"
"395","COMPANY BRIEFS",NA,"Business","1997-01-03"
"398","3 Retailers Report Weak Holiday Sales",NA,"Business","1997-01-03"
"424","Accounts","THE MEDIA BUSINESS: ADVERTISING -- ADDENDA","Business","1997-01-03"
"425","BUSINESS DIGEST",NA,"Business","1997-01-03"
"429","First Baby Bell Seeks to Enter Long Distance",NA,"Technology; Business","1997-01-03"
"435","U.S. Petroleum Data",NA,"Business","1997-01-03"
"444","Morgan Stanley Executive Is Set to Lead Van Kampen",NA,"Business","1997-01-03"
"471","Dividends Rise, but Not as Fast as Stocks",NA,"Business","1997-01-03"
"485","Who Will Pay for a Generation of Expensive Plants?","The Nuclear Power Puzzle","Business","1997-01-03"
"496","Hong Kong Celebrates a Money Man's Audacity",NA,"Business","1997-01-03"
"499","A new campaign for Hewlett-Packard pokes fun at its own engineers to set its printers apart.","THE MEDIA BUSINESS: ADVERTISING","Technology; Business","1997-01-03"
"515","S.E.C. Delays New Order-Handling Rules",NA,"Business","1997-01-03"
"520","Bank of New York Planning To Raise State Street Stake",NA,"Business","1997-01-03"
"523","Bonds Slide, Pushing Yield Up to 6.73%","CREDIT MARKETS","Business","1997-01-03"
"524","Dow Sinks but Then Rallies At End, Dropping Just 5.78",NA,"Business","1997-01-03"
"577","Dow Up 101.60, But Ends Week Little Changed",NA,"Business","1997-01-04"
