"","main","kicker","section_name","pub_date"
"46","WOOING NEW ADVERTISERS BY WOOING NEW READERS","WHAT'S NEW IN MAGAZINE REDESIGN","Business","1989-01-01"
"73","The Miniatures Industry Grows - By Inches, Naturally",NA,"Business","1989-01-01"
"91","CONSUMER RATES",NA,"Business","1989-01-01"
"130","WHAT'S NEW IN MAGAZINE REDESIGN",NA,"Business","1989-01-01"
"132","When Pressure Forces Guilty Pleas","BUSINESS FOURM: THE DREXEL CASE","Business","1989-01-01"
"168","Taking Stock of Investment Clubs","PERSONAL FINANCE","Business","1989-01-01"
"169","Health-Care Cures",NA,"Business; Opinion","1989-01-01"
"177","IN QUOTES",NA,"Business","1989-01-01"
"182","CONCOCTING A FORMULA OF PAPER, TYPE AND COLORS","WHAT'S NEW IN MAGAZINE REDESIGN","Business","1989-01-01"
"199","Taxing Spirits",NA,"Business","1989-01-01"
"212","Why Rolls-Royce Loves Its Bentley Photos of Malcolm Hart, director of sales and marketing of Rolls Royce Motor Cars, with a Bentley Turbo R (NYT/Jonathan Player); working at the bottom of a car at the Crewe factory, which turns out Bentley and Rolls-Royce models; checking the hides (NYT); graph of number of Bentleys sold, 1970-1988* (*Estimate) (Source: Company reports)",NA,"Business","1989-01-01"
"235","Japan Slips in Smokestack America",NA,"Business","1989-01-01"
"237","DATABANK: January 1, 1989",NA,"Business","1989-01-01"
"242","Pondering Profits, Problems and the Future","BUSINESS FORUM: A LOOK AT THE YEAR AHEAD","Business","1989-01-01"
"245","Nestle's Time to Swagger",NA,"Business","1989-01-01"
"247","A REMINIST JOURNAL FINDS THAT LOOKS COUNT AFTER ALL","WHAT'S NEW IN MAGAZINE REDESIGN","Business","1989-01-01"
"300","A FACE LIFT FOR A YOUNGER LOOKING SELF","WHAT'S NEW IN MAGAZINE REDESIGN","Business","1989-01-01"
"301","Nintendo Fans",NA,"Business; Opinion","1989-01-01"
"307","I.B.M.'s New System Is Put to a Test","THE EXECUTIVE COMPUTER","Technology; Business","1989-01-01"
"319","Prospects; The Christmas Indicator",NA,"Health; Business","1989-01-01"
"346","Health-Care Cures",NA,"Business; Opinion","1989-01-01"
"356","Moving Beyond Patter and Persistence Photos of Tyrone Howze, a salesman for Nabisco Brands, checking inventory at a Michigan supermarket (NYT/Peter Yates); Gary Johnson, a sales representative for the Perceptron Corporation of Farmington Hills, Mich., with a computerized measuring system he sells (NYT/Peter Yates); Kristin Haser, who sells paper products for the Arnold Corporation in Pittsburgh, leaves a customer a holiday case of beer (NYT/Scott Goldsmith)",NA,"Technology; Business","1989-01-01"
"362","Nintendo Fans",NA,"Business; Opinion","1989-01-01"
"382","Nintendo Fans",NA,"Business; Opinion","1989-01-01"
"383","Tax Watch; Buyout Incentives Of '86 Legislation",NA,"Business","1989-01-02"
"386","Foreign Stock Gains Outpaced U.S. in 1988","INTERNATIONAL REPORT","Business","1989-01-02"
"389","Dividend Meetings",NA,"Business","1989-01-02"
"391","Public Radio Begins Business Program","THE MEDIA BUSINESS","Business","1989-01-02"
"393","Shift at Paper In Los Angeles",NA,"Business","1989-01-02"
"394","Ad Ban Might Help Cigarette Makers","THE MEDIA BUSINESS","Business","1989-01-02"
"396","Economic Calendar",NA,"Business","1989-01-02"
"399","Unimed Inc reports earnings for Year to Sept 30",NA,"Business","1989-01-02"
"404","Irvine Sensors Corp reports earnings for Year to Oct 2",NA,"Business","1989-01-02"
"406","BATTLES BEGINNING IN RACE TO PATENT SUPERCONDUCTORS",NA,"Technology; Business","1989-01-02"
"408","San Diego Fights a Utility Takeover",NA,"Business","1989-01-02"
"411","Burnishing Detroit's Faded Image",NA,"Business","1989-01-02"
"412","New Owners and Chief For J.&W. Seligman","BUSINESS PEOPLE","Business","1989-01-02"
"417","Korea Surplus With U.S. Dips",NA,"Business","1989-01-02"
"422","Key Co reports earnings for Qtr to Oct 31",NA,"Business","1989-01-02"
"424","GLOBAL BRIEFS",NA,"Business","1989-01-02"
"426","Consul Restaurant Corp reports earnings for Qtr to Nov 30",NA,"Business","1989-01-02"
"432","Computerland Court Ruling",NA,"Business","1989-01-02"
"447","Old Fashion Foods Inc reports earnings for 13wk to Nov 26",NA,"Business","1989-01-02"
"448","Compumed Inc reports earnings for Year to Sept 30",NA,"Business","1989-01-02"
"456","Debt-Equity Swaps Draw Latin Criticisms",NA,"Business","1989-01-02"
"464","Southern Co reports earnings for 12mo Nov 30",NA,"Business","1989-01-02"
"472","Top Avnet Executive Adds Chairman's Post","BUSINESS PEOPLE","Business","1989-01-02"
"474","MSI Electronics reports earnings for Year to Sept 30",NA,"Business","1989-01-02"
"477","Wide Effect Seen From Trade Pact",NA,"Business","1989-01-02"
"482","Irving Bank Deal Completed",NA,"Business","1989-01-02"
"483","Fischbach Corp reports earnings for Qtr to Sept 30",NA,"Business","1989-01-02"
"484","The Video News Release: Let the Viewer Beware","THE MEDIA BUSINESS: TELEVISION","Business","1989-01-02"
"485","Craig Corp reports earnings for Qtr to Sept 30",NA,"Business","1989-01-02"
"488","Bancroft Convertible Fund Inc reports earnings for As of Oct 31",NA,"Business","1989-01-02"
"491","Harding Associates Inc reports earnings for Qtr to Nov 30",NA,"Business","1989-01-02"
"503","Crown Andersen Inc reports earnings for Qtr to Sept 30",NA,"Business","1989-01-02"
"506","Red Eagle Resources Corp reports earnings for Qtr to Sept 30",NA,"Business","1989-01-02"
"508","EXECUTIVE CHANGES",NA,"Business","1989-01-02"
"514","BUSINESS DIGEST",NA,"Business","1989-01-02"
"518","Marci International Imports reports earnings for Qtr to Oct 13",NA,"Business","1989-01-02"
"520","Bookstores Look to Instant Ordering","THE MEDIA BUSINESS","Business","1989-01-02"
"532","Interest Rates Seen Rising For 6 Months",NA,"Business","1989-01-03"
"537","Saudi-Texaco Joint Venture",NA,"Business","1989-01-03"
"539","Addenda","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-03"
"541","Careers; Educating Managers In Hungary",NA,"Business","1989-01-03"
"546","BUSINESS DIGEST",NA,"Business","1989-01-03"
"550","British Pork Shift Offered",NA,"Business","1989-01-03"
"557","Economy's Captain Picks a Crucial Battle And Has Some Luck","THE MEN BEHIND THE BIGGEST STORIES ON WALL STREET AND IN WASHINGTON: ALAN GREENSPAN, FEDERAL RESERVE BOARD","Business","1989-01-03"
"558","Market for New Issues Fell Sharply in '88 Amid Investor Disenchantment","WALL STREET OUTLOOK","Business","1989-01-03"
"564","Pretoria Ties Of Ford, G.M.",NA,"Business","1989-01-03"
"569","Renault to Get Aid From French",NA,"Business","1989-01-03"
"570","Two Deal Makers Who Set Out Alone Find They Have Plenty of Company","THE MEN BEHIND THE BIGGEST STORIES ON WALL STREET AND IN WASHINGTON: BRUCE WASSERSTEIN AND JOSEPH PERELLA, WASSERSTEIN, PERELLA","Business","1989-01-03"
"572","Braniff Shifts Its Account To McKinney","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-03"
"573","Treasury Secretary Off to a Quiet Start, but Loud Issues, Including Taxes, Lie Ahead","THE MEN BEHIND THE BIGGEST STORIES ON WALL STREET AND IN WASHINGTON: NICHOLAS F. BRADY, TREASURY DEPARTMENT","Business","1989-01-03"
"578","Economy Is Bolstered By Exports",NA,"Business","1989-01-03"
"580","Still Bullish, With Fingers Crossed",NA,"Business","1989-01-03"
"581","Iraq Said to Cut Oil Exports",NA,"Business","1989-01-03"
"586","Talking Business with Schwab, the discount broker; Hard Competition Seen for Brokers",NA,"Business","1989-01-03"
"602","Industry Sees New Markets After Europe Bans U.S. Beef",NA,"Business","1989-01-03"
"607","American Exchange Has Strong 4th Quarter","WALL STREET OUTLOOK","Business","1989-01-03"
"614","Discounting Not on Rise, Retailers Say",NA,"Business","1989-01-03"
"617","Financial Videos From Dollar Dry Dock","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-03"
"621","THE MEN BEHIND THE BIGGEST STORIES ON WALL STREET AND IN WASHINGTON: HENRY R. KRAVIS, Kohlberg, Kravis, Roberts; RJR Nabisco Deal A Triumphant Work For Master of Buyouts",NA,"Business","1989-01-03"
"622","Wall St. Finds Life After Crash",NA,"Front Page; Business","1989-01-03"
"624","'Junk Bond' King Waits Uneasily As Prosecutors Prepare Their Case","THE MEN BEHIND THE BIGGEST STORIES ON WALL STREET AND IN WASHINGTON: MICHAEL R. MILKEN, DREXEL BURNHAM LAMBERT","Business","1989-01-03"
"627","Business Week's Move","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-03"
"629","Capital Cities' Satellite Stake",NA,"Business","1989-01-03"
"636","Monitor Introducing Redesigned Newspaper","THE MEDIA BUSINESS","Business","1989-01-03"
"642","Regulator Tackles the Savings Crisis Because 'I Like a Challenge'","THE MEN BEHIND THE BIGGEST STORIES ON WALL STREET AND IN WASHINGTON: M. DANNY WALL, FEDERAL HOME LOAN BANK BOARD","Business","1989-01-03"
"643","Wall Street's Bonuses for '88 Favor Experts in Mergers and Acquisitions",NA,"Business","1989-01-03"
"644","Cadwell's Help For Retarded","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-03"
"648","Treasury Bill Auction Set For Today",NA,"Business","1989-01-03"
"656","O-T-C Stocks Rise 14%, But Trading Dwindles","WALL STREET OUTLOOK","Business","1989-01-03"
"660","People","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-03"
"663","Bank Board's Wild Week Of Round-the-Clock Deals",NA,"Front Page; Business","1989-01-03"
"664","Pro Bono","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-03"
"669","Accounts","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-03"
"678","Market Place; Milder Rise Seen For 1989 Profits",NA,"Business","1989-01-03"
"683","Working Woman","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-03"
"686","Backlash on Takeovers Is Feared",NA,"Business","1989-01-03"
"689","A Banker Who Changed the Rules","THE MEN BEHIND THE BIGGEST STORIES ON WALL STREET AND IN WASHINGTON: J. CARTER BACOT, BANK OF NEW YORK","Business","1989-01-03"
"696","Field Selling Pioneer Press To Sun-Times","THE MEDIA BUSINESS","Business","1989-01-04"
"699","Holly Farms To Test Ruling","COMPANY NEWS","Business","1989-01-04"
"700","QED Exploration reports earnings for Qtr to Oct 31",NA,"Business","1989-01-04"
"707","B.P. to Sell Mining Unit To RTZ",NA,"Business","1989-01-04"
"713","Comprehensive Care Corp reports earnings for Qtr to Nov 30",NA,"Business","1989-01-04"
"716","Pepsico's Bottling Accord Off",NA,"Business","1989-01-04"
"717","BKW Systems Inc reports earnings for Year to Sept 30",NA,"Business","1989-01-04"
"718","Plant Grows Own Pesticide","BUSINESS TECHNOLOGY","Business","1989-01-04"
"721","Toys 'R' Us Names Two Vice Chairmen","BUSINESS PEOPLE","Business","1989-01-04"
"723","Panel Asks Strong U.S. Push To Develop Superconductors","BUSINESS TECHNOLOGY","Front Page; Business","1989-01-04"
"724","Construction Spending Rose 0.8% in November",NA,"Business","1989-01-04"
"727","THE MEDIA BUSINESS: Advertising; Stanley Works To Ammirati",NA,"Business","1989-01-04"
"736","About Real Estate; Office Building in Queens Rises After Long Delays",NA,"Business","1989-01-04"
"742","Aileen Inc reports earnings for 13wk to Oct 29",NA,"Business","1989-01-04"
"746","Fountain Powerboat Indusries reports earnings for Qtr to Sept 30",NA,"Business","1989-01-04"
"748","Debt Issue in Mexico",NA,"Business","1989-01-04"
"749","Dollar, Off, Recovers a Bit On Report of U.S. Ship Move","CURRENCY MARKETS","Business","1989-01-04"
"755","Treasury Notes and Bonds Slide","CREDIT MARKETS","Business","1989-01-04"
"757","Europeans to Offer Plan to Ease Trade Dispute With U.S.",NA,"Business","1989-01-04"
"759","Barrett Resources Corp reports earnings for Year to Sept 30",NA,"Business","1989-01-04"
"764","Scimed Life Systems Inc reports earnings for Qtr to Nov 30",NA,"Business","1989-01-04"
"769","Intervoice Inc reports earnings for Qtr to Nov 30",NA,"Business","1989-01-04"
"770","National Data Corp reports earnings for Qtr to Nov 30",NA,"Business","1989-01-04"
"771","GTE-A.T.&T. Joint Venture","BUSINESS TECHNOLOGY","Business","1989-01-04"
"774","Tranzonic Cos reports earnings for Qtr to Nov 30",NA,"Business","1989-01-04"
"775","Economic Scene; The Bank Board's Costly Dilemma",NA,"Business","1989-01-04"
"779","Clarcor Inc reports earnings for Qtr to Nov 30",NA,"Business","1989-01-04"
"781","S.E.C. Picks Computer Bid","BUSINESS TECHNOLOGY","Technology; Business","1989-01-04"
"786","Tokyo Route Award Won't Be Contested",NA,"Business","1989-01-04"
"787","New Chips Offer the Promise Of Much Speedier Computers","BUSINESS TECHNOLOGY","Technology; Front Page; Business","1989-01-04"
"792","Apogee Enterprises Inc reports earnings for Qtr to Nov 26",NA,"Business","1989-01-04"
"793","Tokyo Bank to Sell Chicago Operation","COMPANY NEWS","Business","1989-01-04"
"798","FINANCE BRIEFS",NA,"Business","1989-01-04"
"800","Digital Licenses Apollo's Software","COMPANY NEWS","Technology; Business","1989-01-04"
"805","CBS Records to Buy Tree, Ending an Era in Nashville","THE MEDIA BUSINESS","Business","1989-01-04"
"809","Concord Fabrics Inc reports earnings for Qtr to Nov 27",NA,"Business","1989-01-04"
"810","Chrysler Plans a 10-Cylinder Engine","COMPANY NEWS","Business","1989-01-04"
"811","Izvestia Opens Pages to 'Parasites'","THE MEDIA BUSINESS","Business","1989-01-04"
"812","Chief Executive Picked At Cyclops Industries","BUSINESS PEOPLE","Business","1989-01-04"
"814","THE MEDIA BUSINESS: Advertising; Ciociola & Company Wins Remco Account",NA,"Business","1989-01-04"
"815","THE MEDIA BUSINESS: Advertising; Leber Katz Counts On Computers",NA,"Technology; Business","1989-01-04"
"816","THE MEDIA BUSINESS: Advertising; 2 More Advertisers To Use Comedians",NA,"Business","1989-01-04"
"819","BUSINESS DIGEST",NA,"Business","1989-01-04"
"820","Rite Aid Corp reports earnings for Qtr to Nov 26",NA,"Business","1989-01-04"
"823","Reagan Rules Out Oil Fee",NA,"Business","1989-01-04"
"825","COMPANY BRIEFS","COMPANY NEWS","Business","1989-01-04"
"833","Super Rite Foods Inc reports earnings for 13wk to Nov 26",NA,"Business","1989-01-04"
"835","Ohio Mattress Co reports earnings for Qtr to Nov 30",NA,"Business","1989-01-04"
"837","CSX Corp reports earnings for Qtr to Dec 31",NA,"Business","1989-01-04"
"839","Kayser-Roth Names a New Chief","BUSINESS PEOPLE","Business","1989-01-04"
"840","NAVY OFFICIAL SAID TO HAVE GOT GIFTS",NA,"Business","1989-01-04"
"843","Peru's Inflation Put at 1,722%",NA,"Business","1989-01-04"
"846","Kohlberg, Kravis Views Mcorp Data","COMPANY NEWS","Business","1989-01-04"
"848","Oxford Industries Inc reports earnings for Qtr to Dec 2",NA,"Business","1989-01-04"
"853","Digital Optronics reports earnings for Qtr to Sept 30",NA,"Business","1989-01-04"
"854","American Standard","COMPANY NEWS","Business","1989-01-04"
"855","When Dividends Are Bad News","MARKET PLACE","Business","1989-01-04"
"857","Waterhouse Investor Servces Inc reports earnings for Qtr to Nov 25",NA,"Business","1989-01-04"
"860","EXECUTIVE CHANGES",NA,"Business","1989-01-04"
"865","Oxidyne Group reports earnings for Qtr to Sept 30",NA,"Business","1989-01-04"
"868","KEY RATES",NA,"Business","1989-01-04"
"869","Radiant Technology Corp reports earnings for Year to Sept 30",NA,"Business","1989-01-04"
"874","Rates Are Mixed At Citicorp Auction",NA,"Business","1989-01-04"
"875","BEI Holdings Ltd reports earnings for Qtr to Oct 31",NA,"Business","1989-01-04"
"879","Study Asserts 'Poison Pills' Do Not Raise Stock Prices","COMPANY NEWS","Business","1989-01-04"
"880","THE MEDIA BUSINESS: Advertising; Wells, Rich Resigns Cosmopolitan Magazine",NA,"Business","1989-01-04"
"883","Hewlett-Packard To Buy Hilco Stake","COMPANY NEWS","Business","1989-01-04"
"885","Sterling Software Inc reports earnings for Qtr to Sept 30",NA,"Business","1989-01-04"
"889","Jefferies Accuses GAF Of Carbide Stock Role",NA,"Business","1989-01-04"
"890","Mead and Toyota Fight Over Name","THE MEDIA BUSINESS","Business","1989-01-04"
"906","Ms. Honors Portraits Series","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-05"
"909","'Poison Pill' Revamped At Borden",NA,"Business","1989-01-05"
"912","Wertheim Co-chairman Resigns to Form a Firm","BUSINESS PEOPLE","Business","1989-01-05"
"914","Bank Regulator Asks for Powers To Raise Fees and Limit Lending",NA,"Front Page; Business","1989-01-05"
"927","Co-op Efforts Rewarded At D.M.B.&B.","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-05"
"932","Mini-van Displayed By G.M.",NA,"Business","1989-01-05"
"933","FINANCE BRIEFS",NA,"Business","1989-01-05"
"937","Hoare Govett Sets Cutback",NA,"Business","1989-01-05"
"938","CNN in Latin America",NA,"Business","1989-01-05"
"939","Friendly French Offer for Collins Is Ended",NA,"Business","1989-01-05"
"944","Global Trading Network Near for New York Merc",NA,"Technology; Business","1989-01-05"
"948","Accounts","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-05"
"951","Correction",NA,"Corrections; Business","1989-01-05"
"954","Braniff's Checkered Past",NA,"Business","1989-01-05"
"956","Ouster Of Milken Seen Near",NA,"Business","1989-01-05"
"961","People","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-05"
"962","Stake Is Increased In Starrett Housing","COMPANY NEWS","Business","1989-01-05"
"964","Stocks Rally as Dow Rises 33.04, to 2,177.68",NA,"Business","1989-01-05"
"965","Chicago Merc Is Opposing Amex Trading Instrument",NA,"Business","1989-01-05"
"966","EXECUTIVES",NA,"Business","1989-01-05"
"967","World Bank Raises Rates",NA,"Business","1989-01-05"
"973","Chief Executive Hired By American Hospital","BUSINESS PEOPLE","Business","1989-01-05"
"977","Best Products Fills Key Post",NA,"Business","1989-01-05"
"978","KEY RATES",NA,"Business","1989-01-05"
"983","Plan by Hoffmann","COMPANY NEWS","Business","1989-01-05"
"985","Yields Rise For Week","CONSUMER RATES","Business","1989-01-05"
"993","Braniff in Move to Buy 100 Planes",NA,"Business","1989-01-05"
"1004","Europe's Grand Plan for Web of Fast Trains",NA,"Front Page; Business","1989-01-05"
"1008","Talking Deals; The Constraints On Bank Buyouts",NA,"Business","1989-01-05"
"1010","Duties Raised on Vehicles",NA,"Business","1989-01-05"
"1021","Trial Begins On Newhouse Tax Issue",NA,"Business","1989-01-05"
"1023","A Wall Street Boutique Names a Senior Partner","BUSINESS PEOPLE","Business","1989-01-05"
"1034","Busch Shuts Plant Because of Oil Slick","COMPANY NEWS","Business","1989-01-05"
"1050","2 Studies Show Big Drops In U.S. Share of Electronics",NA,"Business","1989-01-05"
"1055","BUSINESS DIGEST",NA,"Business","1989-01-05"
"1057","Lorillard Appointment","THE MEDIA BUSINESS: ADVERTISING","Business","1989-01-05"
"1061","Rates Steady in Quiet Trading","CREDIT MARKETS","Business","1989-01-05"
"1062","BRIEFS",NA,"Business","1989-01-05"
"1066","Raising Quality: Consumers Star",NA,"Business","1989-01-05"
"1070","Proxy-Fight Plan Over Pennwalt Bid","COMPANY NEWS","Business","1989-01-05"
"1075","Freddie Mac Offers Mortgage Issues",NA,"Business","1989-01-05"
"1079","Orders to U.S. Factories Rose by 0.3% in November",NA,"Business","1989-01-05"
"1083","Regina Reports $16.8 Million Loss","COMPANY NEWS","Business","1989-01-05"
"1089","Sharp to Griffin Bacal","THE MEDIA BUSINESS: ADVERTISING","Technology; Business","1989-01-05"
"1095","Debenture Offering From Fannie Mae",NA,"Business","1989-01-05"
"1096","U.S. Petroleum Data",NA,"Business","1989-01-05"
"1099","Quaker Plans Ghirardelli Sale","COMPANY NEWS","Business","1989-01-05"
"1100","Jefferies's Campaign Giving Is Cited",NA,"Business","1989-01-05"
"1106","Equity Growth Corp reports earnings for Year to Sept 30",NA,"Business","1989-01-06"
"1113","ESPN Will Pay $400 Million For Baseball-Game Rights",NA,"Business","1989-01-06"
"1114","MAI Details Drexel Link","COMPANY NEWS","Business","1989-01-06"
"1117","On-Line Software Internaional Inc reports earnings for Qtr to Nov 30",NA,"Business","1989-01-06"
"1118","Oil Prices Stage a Rebound On Reports of Tight Supplies","FUTURES/OPTIONS","Business","1989-01-06"
"1132","Banco Popular de Puerto Rico reports earnings for Qtr to Dec 31",NA,"Business","1989-01-06"
"1134","Fur Vault Inc reports earnings for Qtr to Nov 26",NA,"Business","1989-01-06"
"1135","Europe Fires A New Shot In Trade War",NA,"Business","1989-01-06"
"1137","KEY RATES",NA,"Business","1989-01-06"
"1138","Enron Subsidiary In L.I. Gas Accord","COMPANY NEWS","Business","1989-01-06"
"1139","Jefferies Says He Destroyed Notes on Trades",NA,"Business","1989-01-06"
"1144","Beeba's Creations Inc reports earnings for Qtr to Nov 30",NA,"Business","1989-01-06"
"1147","West Germans Try to Curb Dollar's Rally","CURRENCY MARKETS","Business","1989-01-06"
"1151","EXECUTIVE CHANGES",NA,"Business","1989-01-06"
"1152","S.E.C. Review on Lawyer",NA,"Business","1989-01-06"
"1158","Farm Credit Bank Cancels Offering","FINANCE/NEW ISSUES","Business","1989-01-06"
"1165","President to Be Chief At Pratt & Lambert","BUSINESS PEOPLE","Business","1989-01-06"
"1166","Debt Crisis For Banks Said to End",NA,"Business","1989-01-06"
"1167","Dow Climbs To Highest Since Crash",NA,"Business","1989-01-06"
