"","main","kicker","section_name","pub_date"
"1","7 Detained As Parmalat Investigation Is Widened",NA,"Business","2004-01-01 00:00:00"
"12","Year's Big Rally Helps Investors Regain Ground","THE MARKETS: STOCKS & BONDS","Front Page; Business","2004-01-01 00:00:00"
"18","A Small Company, a Global Approach","SMALL BUSINESS","Business","2004-01-01 00:00:00"
"54","World Business Briefing | Europe: Britain: Bank Sells Unit",NA,"Business","2004-01-01 00:00:00"
"65","Economic Scene; What separates rich nations from poor nations? History can provide some answers.",NA,"Business; Books","2004-01-01 00:00:00"
"67","COMPANY BRIEFS",NA,"Business","2004-01-01 00:00:00"
"74","BUSINESS DIGEST",NA,"Business","2004-01-01 00:00:00"
"82","Merger Renaissance A Good Possibility In the Coming Year",NA,"Business","2004-01-01 00:00:00"
"89","A Continent Divided by Water, Now United by Air",NA,"Business","2004-01-01 00:00:00"
"101","A Time for Finesse: Marketing Beef After a Mad Cow Discovery",NA,"Business","2004-01-01 00:00:00"
"106","The Very Rich, It Now Appears, Give Their Share And Even More",NA,"Business","2004-01-01 00:00:00"
"107","U.S. Acts to Ban Tax Shelters Using Roth I.R.A.",NA,"Business","2004-01-01 00:00:00"
"126","World Business Briefing | Europe: Britain: Cloning Technology Sold",NA,"Technology; Business","2004-01-01 00:00:00"
"130","Key Rates","THE MARKETS","Business","2004-01-01 00:00:00"
"149","THE MARKETS: CURRENCIES",NA,"Business","2004-01-01 00:00:00"
"237","Reginald Harold Jones, 86, Dies; Led General Electric",NA,"Business; Obituaries","2004-01-02 00:00:00"
"386","That Parent-Child Conversation Is Becoming Instant, and Online",NA,"Technology; Front Page; Business","2004-01-03 00:00:00"
"405","Offshore Services Grow in Lean Times",NA,"Business","2004-01-03 00:00:00"
"406","Airline Leasing Company Files Suit Over Tax Shelter",NA,"Business","2004-01-03 00:00:00"
"426","New Chief to Take Reins as Motorola Takes on Challenge of Rivals",NA,"Technology; Business","2004-01-03 00:00:00"
"447","The Asian Battle for Russia's Oil and Gas","INTERNATIONAL BUSINESS","Business","2004-01-03 00:00:00"
"448","COMPANY BRIEFS",NA,"Business","2004-01-03 00:00:00"
"459","Manufacturing Index Reaches 20-Year High",NA,"Business","2004-01-03 00:00:00"
"474","Key Rates","THE MARKETS","Business","2004-01-03 00:00:00"
"491","BUSINESS DIGEST",NA,"Business","2004-01-03 00:00:00"
"517","The Handling Of Expert Testimony",NA,"Business; Opinion","2004-01-04 00:00:00"
"554","Business People; For Toilet Paper King, A Constant Question And a Simple Answer",NA,"Business","2004-01-04 00:00:00"
"560","Idiots, and the People Who Work for Them","AT LUNCH WITH -- JOHN HOOVER","Business","2004-01-04 00:00:00"
"564","INVESTING WITH -- Mitchell Rubin; Baron iOpportunity Fund",NA,"Business","2004-01-04 00:00:00"
"592","Business People; A Decorating Game For the Workplace",NA,"Business","2004-01-04 00:00:00"
"628","Gauging Performance Of Hedge Funds",NA,"Business; Opinion","2004-01-04 00:00:00"
"640","Taking the Market's Pulse With the P/E Ratio","PORTFOLIOS, ETC.","Business","2004-01-04 00:00:00"
"656","Business People; Memo to Spouse: I Really Do Care",NA,"Business","2004-01-04 00:00:00"
"669","Private Sector; Once a Cassandra, Now a Sage",NA,"Business","2004-01-04 00:00:00"
"694","The Handling Of Expert Testimony",NA,"Business; Opinion","2004-01-04 00:00:00"
"697","Investing; For Boomers Near Retirement, Toolboxes Aplenty",NA,"Business","2004-01-04 00:00:00"
"710","Hong Kong's Rebound Is Tied To China","ECONOMIC VIEW","Business","2004-01-04 00:00:00"
"724","Here's Something to Celebrate: High Fund Fees","ON THE CONTRARY","Business","2004-01-04 00:00:00"
"760","From Cereal to Juice, a Year of Innovation","BULLETIN BOARD","Business","2004-01-04 00:00:00"
"777","Investing; With Fancy Footwork, Barnes & Noble Surprises the Naysayers",NA,"Business","2004-01-04 00:00:00"
"785","Fund Scandal: A 60's Flashback","MARKET WATCH","Business","2004-01-04 00:00:00"
"814","A Designer Lets Loose In the 'Year of the Car'",NA,"Business","2004-01-04 00:00:00"
"832","Steven H. Bazerman, 63; Extended Intellectual Property Law",NA,"Business; Obituaries","2004-01-04 00:00:00"
"862","The Joyless Recovery",NA,"Business","2004-01-04 00:00:00"
"879","DataBank; A Week of New Calendars and More Gains",NA,"Business","2004-01-04 00:00:00"
"892","Executive Life: The Boss; A Pay-as-He-Went Start",NA,"Business","2004-01-04 00:00:00"
"914","Executive Life; Business Schools Make a Pitch for Women",NA,"Business","2004-01-04 00:00:00"
"917","Business; Restaurant Chains, Too, Watch Their Carbs",NA,"Health; Business","2004-01-04 00:00:00"
"932","Business People; Fireworks for Lady Liberty Instead of Times Square",NA,"Business","2004-01-04 00:00:00"
"970","Where to Go When the Easy Gains Are Gone","MARKET INSIGHT","Business","2004-01-04 00:00:00"
"976","Corrections",NA,"Corrections; Business","2004-01-04 00:00:00"
"977","Personal Business; So, Grandpa, Can We Go to the Land of the Rings?",NA,"Business","2004-01-04 00:00:00"
"983","An online travel company tries to revive its fortunes using a gnome and $80 million.","THE MEDIA BUSINESS: ADVERTISING","Business","2004-01-05 00:00:00"
"996","Treasury Bills Set For This Week",NA,"Business","2004-01-05 00:00:00"
"999","BUSINESS DIGEST",NA,"Business","2004-01-05 00:00:00"
"1010","Officials Search Office of Parmalat's Lawyer",NA,"Business","2004-01-05 00:00:00"
"1013","Fed Governor Defends Call To Hold Rates At Low Level",NA,"Business","2004-01-05 00:00:00"
"1038","Economic Calendar",NA,"Business","2004-01-05 00:00:00"
"1041","Songwriters Say Piracy Eats Into Their Pay","MEDIA","Technology; Business","2004-01-05 00:00:00"
"1050","Fox Hopes 'Fiancé' Delivers Big Fat Win","MEDIA","Business","2004-01-05 00:00:00"
"1060","A Debate on Web Phone Service","TECHNOLOGY","Technology; Business","2004-01-05 00:00:00"
"1065","E-Commerce Report; After several favorable court rulings, WhenU.com has been barred, at least for now, from the use of some pop-up ads.",NA,"Technology; Business","2004-01-05 00:00:00"
"1078","New Economy; In Survey, Fewer Are Sharing Files (Or Admitting It)",NA,"Technology; Business","2004-01-05 00:00:00"
"1081","Hollinger Board Accused of Lax Supervision",NA,"Business","2004-01-05 00:00:00"
"1105","China's Chip Appetite","MOST WANTED: DRILLING DOWN/SEMICONDUCTORS","Technology; Business","2004-01-05 00:00:00"
"1108","Patents; Snowboarding device lets aspiring daredevils practice indoors before hitting the slopes.",NA,"Technology; Business","2004-01-05 00:00:00"
"1117","One-Stop Shopping Approach to HDTV",NA,"Business","2004-01-05 00:00:00"
"1125","G.M. Executive Preaches: Sweat the Smallest Details",NA,"Business","2004-01-05 00:00:00"
"1130","Who Best to Describe Ken Wells' Book? Ken Wells","MEDIA","Business; Books","2004-01-05 00:00:00"
"1131","Five Giants In Technology Unite to Deter File Sharing",NA,"Technology; Movies; Business","2004-01-05 00:00:00"
"1150","Investors File Suit in Parmalat Inquiry",NA,"Business","2004-01-06 00:00:00"
"1170","Fund Industry Challenges Fee Data Cited by Spitzer",NA,"Business","2004-01-06 00:00:00"
