"","main","kicker","section_name","pub_date"
"2","Agreement On Sabena Is Canceled",NA,"Business","1991-01-01"
"5","Western Union Sales",NA,"Technology; Business","1991-01-01"
"14","Dow Ends Worst Year Since 1981",NA,"Business","1991-01-01"
"18","MCA Takeover Is Completed","COMPANY NEWS","Business","1991-01-01"
"30","THE YEAR IN FINANCE: 1990/From Wall St. to Warsaw, Economic Storms Are Growing; Lech Walesa/Daunting Challenge For Polish Leader",NA,"Business","1991-01-01"
"31","Bank Failures Dip, for Now",NA,"Business","1991-01-01"
"34","THE YEAR IN FINANCE: 1990/From Wall St. to Warsaw, Economic Storms Are Growing; James D. Robinson 3d/Ambitious Leader's Costly Reversal",NA,"Business","1991-01-01"
"50","THE YEAR IN FINANCE: 1990/From Wall St. to Warsaw, Economic Storms Are Growing; Thomas G. Labrecque/Rebuilding Chase After an Upheaval",NA,"Business","1991-01-01"
"55","THE YEAR IN FINANCE: 1990/From Wall St. to Warsaw, Economic Storms Are Growing; L. William Seidman/Banking Regulator Gains New Respect",NA,"Business","1991-01-01"
"59","Highland Chain In Accord on Debt",NA,"Business","1991-01-01"
"63","USG to Try Revamping Out of Court",NA,"Business","1991-01-01"
"74","2 Cellular Phone Units To Be Sold",NA,"Technology; Business","1991-01-01"
"92","COMPANY BRIEFS",NA,"Business","1991-01-01"
"99","Careers; Interns Study International Management",NA,"Business","1991-01-01"
"100","A Few Words About Paying Bills of the 80's",NA,"Business","1991-01-01"
"122","German Bank Displays A Get-Tough Approach",NA,"Business","1991-01-01"
"125","THE YEAR IN FINANCE: 1990/From Wall St. to Warsaw, Economic Storms Are Growing; Richard G. Darman/Getting the Blame For the Budget Pain",NA,"Business","1991-01-01"
"127","The Price at the Pump: Quick Rise, Slow Fall",NA,"Business","1991-01-01"
"129","Business and Health; Guarding Medical Confidentiality",NA,"Health; Business","1991-01-01"
"135","First Executive Stake Is Sold for 14¦ a Share",NA,"Business","1991-01-01"
"139","I.B.M. Plans Australian Hub",NA,"Technology; Business","1991-01-01"
