"","pub_date","main","score"
"1","2015-01-01","Is the Modern American Dream Attainable?",0.5
"2","2015-01-01","Noteworthy Street Style of 2014",0
"3","2015-01-01","College Football Playoff May Be a Boon, or Just a Pandora's Box",0
"4","2015-01-01","Oh, the Places We've Been",0
"5","2015-01-01","Days of Remembrance",0
"6","2015-01-01","Whereabouts of U.S. Spy Released in Cuba Deal Are Unknown",0
"7","2015-01-01","Sugar Bowl 2015: Alabama vs. Ohio State Preview",0.166666666666667
"8","2015-01-01","Piketty Turns Down the Legion of Honor",0
"9","2015-01-01","The Imperfectionists",0
"10","2015-01-01","When Airplanes Go Missing",-0.5
"11","2015-01-01","Knit 1, Curl Up 2",0
"12","2015-01-01","In Fiesta Bowl, Boise State Holds Off Arizona",0.166666666666667
"13","2015-01-01","At Ohio State, an Overabundance Lines Up Under Center",0.2
"14","2015-01-01","Stanford Women and Silicon Valley",0
"15","2015-01-01","Recycling Electronic Waste Responsibly: Excuses Dwindle",-0.166666666666667
"16","2015-01-01","Skirmishes Flare on India-Pakistan Border  ",-0.25
"17","2015-01-01","Paid Notice: Memorials  DEIN, GITTIE PFEFFER",0
"18","2015-01-01","How the Civil War Created College Football",0.2
"19","2015-01-01","Upshot Year in Review",0
"20","2015-01-01","Afghanistan: Many Are Killed When Rocket Hits Wedding Party",-0.142857142857143
"21","2015-01-01","Standouts in Tech: Drones, Virtual Reality, Instant Translation and A.I.",0
"22","2015-01-01","Cuba Arrests Dissidents 2 Weeks After U.S. Accord",0.2
"23","2015-01-01","What's on TV Thursday",0
"24","2015-01-01","Kevin Durant Has 44 Points in Overtime Win",-0.2
"25","2015-01-01","Everything and the Kitchen Sink",0
"26","2015-01-02","New York City's Pedestrian Fatalities Lowest on Record in 2014",-0.142857142857143
"27","2015-01-02","Syria Deaths Hit New High in 2014, Observer Group Says",-0.125
"28","2015-01-02","John I. Goodlad, Progressive Educator, Dies at 94",0.2
"29","2015-01-02","France: Hundreds of Cars Set on Fire",-0.2
"30","2015-01-02","Sharing Flickr Photos Privately",0.25
"31","2015-01-02","As Bubbly as a Midnight Glass of Champagne",0
"32","2015-01-02","A Historical Drama Shows Too Much Cleavage for China's Censors",-0.285714285714286
"33","2015-01-02","A Contentious Source of Income Is Set to Dry Up ",0
"34","2015-01-02","Frank Lampard Lifts Manchester City as Fans in New York Fume",0.111111111111111
"35","2015-01-02","Web Freedom Is Seen as a Growing Global Issue",0.166666666666667
"36","2015-01-02","A Sobering Perspective on a Looming Retirement Crisis",-0.4
"37","2015-01-02","American Cinema Editors Release Their Nominees",0
"38","2015-01-02","What&#8217;s On TV Friday",0
"39","2015-01-02","Joe on WNYC&#8217;s Money Talking",0
"40","2015-01-02","The Age of Bibi",0
"41","2015-01-02","Paid Notice: Deaths  FRANK, CLAUDE",0
"42","2015-01-02","Paid Notice: Memorials  POPISH, LAWRENCE",0
"43","2015-01-02","Ducks Reach Title Game, in a Blur",0
"44","2015-01-02","Unclean Nuclear Energy",-0.333333333333333
"45","2015-01-02","Living in a Cave in a Rural Part of Southern Spain",0
"46","2015-01-02","Your Turn: A Weekend Thread, Open for Comments",0
"47","2015-01-02","Bob Hall, Harlem Globetrotter Who Relished the Showman Role, Dies at 87",0
"48","2015-01-02","Missouri: Blinker in Arm Finally Signals Pain",-0.166666666666667
"49","2015-01-02","Ebola Doctors Are Divided on IV Therapy in Africa",-0.2
"50","2015-01-02","Jazz Listings for Jan. 2-8",0
"51","2015-01-03","U.S. Eliminated by Russia",-0.5
"52","2015-01-03","Paid Notice: Deaths  CUOMO, MARIO",-0.2
"53","2015-01-03","Me, Me, Me and My Therapist",0
"54","2015-01-03","Win for ESPN, but Title Game Is the Real Test ",0.333333333333333
"55","2015-01-03","A Deal From the SportAccord World Mind Games",0.2
"56","2015-01-03","Paid Notice: Deaths  CUOMO, MARIO M",-0.2
"57","2015-01-03","European Central Bank Hints of Stimulus as Euro Falls Against Dollar",-0.125
"58","2015-01-03","Nice Shot, Mr. President",0
"59","2015-01-03","Kenyan Court Suspends Part of New Antiterrorism Law",0.142857142857143
"60","2015-01-03","Easing Into Leisure, One Step at a Time",0.4
"61","2015-01-03","Virgin Conceives; Network Profits ",0.25
"62","2015-01-03","Ohio: Cleveland Hands Off Inquiry Into Boy&#8217;s Killing ",-0.166666666666667
"63","2015-01-03","For Bond Investors, Ignoring Expert Advice Has Been Profitable",0.166666666666667
"64","2015-01-03","A Republican Ruse to Make Tax Cuts Look Good",-0.142857142857143
"65","2015-01-03","Paid Notice: Deaths  CUOMO, MARIO M",-0.2
"66","2015-01-03","Paid Notice: Memorials  FRIEDMAN, REGINIA",0
"67","2015-01-03","Paid Notice: Deaths  HOFMANN, VIRGINIA ""GINNIE""",-0.166666666666667
"68","2015-01-03","West Bank: Settlers Throw Stones at American Consular Officials",-0.125
"69","2015-01-03","U.C.L.A. Holds On Against Kansas State ",0.25
"70","2015-01-03","A Time for Traitors",-0.5
"71","2015-01-03","Hillary Versus History",0
"72","2015-01-03","The Trouble With Common Core Standards",0
"73","2015-01-03","Funeral for Mario Cuomo Is Set for Tuesday",0
