"","pub_date","main","score"
"1","1992-01-01","Clocks Are Fugitive: Will Father Time Now Carry a Watch?",0
"2","1992-01-01","Key Rates",0
"3","1992-01-01","2 Koreas Agree on Nuclear Ban, But Not on Method of Inspections",0
"4","1992-01-01","Personal Health",0.5
"5","1992-01-01","Cowboys Not Lacking Incentive",-0.333333333333333
"6","1992-01-01","Kristina E. Hill Weds in Greenwich",0
"7","1992-01-01","Neither War Nor Economic Slump Could Stem the '91 Market Surge",0
"8","1992-01-01","Windstorm Kills 100 People In Three Provinces in Vietnam",-0.166666666666667
"9","1992-01-01","Earl Kintner, 79, a Former Chief Of F.T.C. and Law Firm Partner",0.375
"10","1992-01-01","Avoiding 'Caregiver Burnout' In Alzheimer Family Groups",-0.166666666666667
"11","1992-01-01","Books of The Times; An American Master And New Discoveries",0.166666666666667
"12","1992-01-01","Raymond Guest, 84, Ambassador, Polo Player and Breeder of Horses",0
"13","1992-01-01","New Year's Day",0
"14","1992-01-01","Shifts at Top Of an Insurer",0
"15","1992-01-01","Homesteaders in the Bronx Buck the Tide of Decay",-0.2
"16","1992-01-01","Bush, in Australia, Under Fire on Trade",-0.25
"17","1992-01-01","Tolstoy Had a Vision Of Census Taker's Job",0
"18","1992-01-01","Estrogen Is Found to Improve Mood, Not Just Menopause Symptoms",0.142857142857143
"19","1992-01-01","Harris Gets $1.7 Billion F.A.A. Job",-0.2
"20","1992-01-01","Wine Talk",0
"21","1992-01-01","BUSINESS TECHNOLOGY -- The Global Lab: Semiconductors; Costs May Be Too High For All-American Chips",-0.1
"22","1992-01-01","Yankees Still Muddled Despite Leadership Change",-0.166666666666667
"23","1992-01-01","Officer Kills Unarmed Man In Brooklyn",-0.2
"24","1992-01-01","Marcor Resorts Sells Properties",0
"25","1992-01-01","Board Likely to Be Ousted At Maxwell Communication",0.2
"26","1992-01-02","Valley Forge Scientific reports earnings for Qtr to Sept 30",0
"27","1992-01-02","So Far, So Good, and So Go the Rangers",0.333333333333333
"28","1992-01-02","Let Us Recognize Imprudence's Part in Contracting AIDS",0
"29","1992-01-02","Washington Routs Michigan to Stake Claim for No. 1",0
"30","1992-01-02","Corrections",1
"31","1992-01-02","Long Viewed as Safe From Slumps, Las Vegas Finally Feels the Recession",-0.111111111111111
"32","1992-01-02","Picking Up the Pieces",-1
"33","1992-01-02","Walls of Shame Keep Homeless From School",-0.2
"34","1992-01-02","Bill of Rights Only Spelled Out Our Freedoms; Why Madison Switched",0.333333333333333
"35","1992-01-02","Morehouse Industries Inc. reports earnings for Qtr to Nov 30",0.142857142857143
"36","1992-01-02","20 Best Sellers of 1991",0.5
"37","1992-01-02","Calendar: Winter Classes Begin",0
"38","1992-01-02","Precision Aerotech Inc. reports earnings for Qtr to Oct 31",0.142857142857143
"39","1992-01-02","Essay; No 'Horror Show'",-0.666666666666667
"40","1992-01-02","Sportscene Restaurants reports earnings for Qtr to Nov 24",0
"41","1992-01-02","Russ Togs reports earnings for Qtr to Nov 2",0
"42","1992-01-02","Continental Pharma Cryosan reports earnings for Qtr to Oct 31",0
"43","1992-01-02","Miami and UConn In Big East Debut",0
"44","1992-01-02","Indian Rebels Said to Be Based in Bangladesh",-0.2
"45","1992-01-02","Ringer Corp. reports earnings for Qtr to Sept 30",0
"46","1992-01-02","Spy's Library Holds Many Volumes but No Secrets",-0.166666666666667
"47","1992-01-02","Sheldahl Inc. reports earnings for Qtr to Nov 29",0
"48","1992-01-02","Republic Health reports earnings for Qtr to Nov 30",0.166666666666667
"49","1992-01-02","Ultimap reports earnings for Qtr to Oct 31",0
"50","1992-01-02","Defense For Oilers Is Now in Spotlight",0
"51","1992-01-03","Vehicle Sales Weak Again In Midmonth",0
"52","1992-01-03","Frank Carrington, 55, Victims' Rights Lawyer",0.4
"53","1992-01-03","Licensed-Product Sales Drop 4.5%",-0.333333333333333
"54","1992-01-03","No One Has a Child for Welfare Benefits",0.5
"55","1992-01-03","Long-Term Issues Plunge Sharply",0
"56","1992-01-03","Ron Christopher, AIDS Educator, 53",0.5
"57","1992-01-03","Publisher to Begin Three Magazines",0
"58","1992-01-03","Sparing a Dime, Whether They Agree or Not",0.25
"59","1992-01-03","One More Dow Record",0
"60","1992-01-03","Steinbrenner Hopes for Talks",0.333333333333333
"61","1992-01-03","FINANCE BRIEFS",0
"62","1992-01-03","Who Won in Salvador? Everyone",0
"63","1992-01-03","When It Comes to Championships, Miami Has Gotten Very Defensive",0.4
"64","1992-01-03","Restaurants",0
"65","1992-01-03","A Corner of Middle Europe Where Empires Mean Little",-0.166666666666667
"66","1992-01-03","Dinkins as a Populist: Hearing 'Our People'",0
"67","1992-01-03","Art in Review",0.5
"68","1992-01-03","2 People Killed in an Explosion in Upstate New York",-0.333333333333333
"69","1992-01-03","Why Did It Have to Take 'J.F.K.' to Wake Us?; Kennedy Was No Dove",0
"70","1992-01-03","A Specialist in Cutting Costs Is the New President of PNC",-0.333333333333333
"71","1992-01-03","And He Can't Dunk",0
"72","1992-01-03","United Telecom to Buy GTE's Stake in Sprint",0.166666666666667
"73","1992-01-03","Why Did It Have to Take 'J.F.K.' to Wake Us?",0
"74","1992-01-03","CHRONICLE",0
"75","1992-01-03","BUSINESS DIGEST",0
"76","1992-01-04","What's Up Inside the Rinks and With Outside Issues",-0.2
"77","1992-01-04","Radio Drama Isn't Dead, Nor the Scary Sound Effects",0
"78","1992-01-04","Russians Find Goods Too Pricey, or Don't Find Them at All",0.166666666666667
"79","1992-01-04","Corrections",1
"80","1992-01-04","Taipei Journal; The Voice of Taiwan Speaks English",0
"81","1992-01-04","American Piano Music",0
"82","1992-01-04","Cold War Static On Fiber Optics",-0.6
"83","1992-01-04","John Gallagher Jr., 72, Ex-Wall St. Executive  John J. Gallagher Jr., a retired Wall Street executive, died on Monday at his home in Plandome Manor, L.I. He was 72 years old.   He died of a heart attack, relatives said.",-0.227272727272727
"84","1992-01-04","Court Approves Plan to Shift Control of Maxwell Flagship",0.285714285714286
"85","1992-01-04","Have You Ever Tried Feeding One Seagull",-0.2
"86","1992-01-04","The High Court v. Habeas Corpus",0.25
"87","1992-01-04","Dow Leaps Past 3,200",0
"88","1992-01-04","Samuel M. Peck, 91, Dermatologist and Professor",0
"89","1992-01-04","It's Billington's Turn Now as the Devils Play Favorites",0
"90","1992-01-04","Bush Opens Singapore Trip With Announcements",0.2
"91","1992-01-04","Corrections",1
"92","1992-01-04","L.S.U. Barely Beats Texas",-0.25
"93","1992-01-04","Observer; Nobody's the One!",0
"94","1992-01-04","6 EX-SOVIET STATES GAIN U.S. SUPPORT FOR TIE TO LENDERS",0.5
"95","1992-01-04","METRO DIGEST",0
"96","1992-01-04","Robinson Joins Angels",0.666666666666667
"97","1992-01-04","Chad Army Claims 2 Towns; French Paratroopers Go In",0
"98","1992-01-04","Dame Judith Anderson Dies at 93; An Actress of Powerful Portrayals",-0.142857142857143
"99","1992-01-04","Puerto Rico's Vote",0
"100","1992-01-04","Radioactive Leak at Nuclear Arms Plant Lingers in Savannah River",-0.125
"101","1992-01-05","George Fichtenbaum, Travel Executive, 66",0
"102","1992-01-05","Sports of The Times; The Mud Is Redskins' Element",0
"103","1992-01-05","Overworked Dramatic License",-0.333333333333333
"104","1992-01-05","Ms. Schulman Has Wedding",0
"105","1992-01-05","How the Klan Captured Indiana",-0.333333333333333
"106","1992-01-05","Series of Attacks on Policemen Worries Pretoria",-0.4
"107","1992-01-05","This Week's Numbers",0
"108","1992-01-05","Social Events",0
"109","1992-01-05","Ships Avoid Yugoslavia",-0.333333333333333
"110","1992-01-05","Corporate Incentive To Teach",0
"111","1992-01-05","For a Limited Time Only: The Presidential Primary Season",-0.2
"112","1992-01-05","Philippa McC. Bainbridge Affianced",0
"113","1992-01-05","IN THIS CORNER",0
"114","1992-01-05","Mother Teresa Is Improving",0.333333333333333
"115","1992-01-05","Amid Bright Colors, an Oasis of White",0.4
"116","1992-01-05","A Sampling of India's Great Legacy of Art",0.4
"117","1992-01-05","Beth Meister to Wed",0
"118","1992-01-05","Elizabeth Kunstadter Is Married",0.333333333333333
"119","1992-01-05","McDaniel Benefits From a Little Advice",0.25
"120","1992-01-05","A G.O.P. Leader Aims At 'Welfare State' Values",0.5
"121","1992-01-05","Cynthia A. Richardson Is Affianced",0
"122","1992-01-05","Mary Hall to Marry",0.333333333333333
"123","1992-01-05","New Yorkers, etc.",0
"124","1992-01-05","Wall Street; Pinkerton's Liability Wild Cards",-0.333333333333333
"125","1992-01-05","A Battle Looms for Bush On Another Asian Front",-0.5
"126","1992-01-06","INSIDE",0
"127","1992-01-06","Review/Rap; The World of Hip-Hop Returns to the Garden",0.2
"128","1992-01-06","Tax Breaks Proposed for U.S. Autos",-0.5
"129","1992-01-06","Miss Maggio Has Wedding",-0.333333333333333
"130","1992-01-06","Democrats Call Bush's Health Proposal Inadequate",0.166666666666667
"131","1992-01-06","Longer Year Is Advocated For Schools",0
"132","1992-01-06","BATTERED INDUSTRIES Picking Up the Pieces in Six Struggling Business Sectors; Real Estate: The Developers Are Still Sifting Market's Rubble",-0.0666666666666667
"133","1992-01-06","Once Again, Bad News Nets",-0.333333333333333
"134","1992-01-06","BATTERED INDUSTRIES Picking Up the Pieces in Six Struggling Business Sectors; Retailing: Sick Merchants, Capitalist 'Cure'",-0.153846153846154
"135","1992-01-06","Film Critics' Award to 'Life Is Sweet'",0.2
"136","1992-01-06","Menorah Case Raises Host of Separation Issues",-0.166666666666667
"137","1992-01-06","Battle on Jerusalem's Future Has Roots 3,000 Years in Past",-0.333333333333333
"138","1992-01-06","Cairo Journal; Militant Islam's Conquest Stops at Egypt's Border",0.125
"139","1992-01-06","Convicted Murderer Fights Suit to Force Him to Pay Defense Costs",-0.25
"140","1992-01-06","Those Great Shirts Are Going Global",0.333333333333333
"141","1992-01-06","Quayle Tells of Effort to Be Vice President",-0.2
"142","1992-01-06","Japan U.N. Role Dubious: Bush",-0.25
"143","1992-01-06","Cecile Naumburg, 94, Philanthropist, Is Dead",-0.25
"144","1992-01-06","Season on the Links: More Prosperity Is Just Around the Next Dogleg",0.285714285714286
