"","pub_date","main","score"
"1","1994-01-01","Family Tale Of a Legacy: 2 Centuries Of Setbacks",0
"2","1994-01-01","Promises, Promises",1
"3","1994-01-01","New Year's Day",0
"4","1994-01-01","Corrections",1
"5","1994-01-01","President Steps Down at Zeos International",0
"6","1994-01-01","Name of the Game: Dominik Hasek",0.25
"7","1994-01-01","Eisner Says Euro Disney May Close",0
"8","1994-01-01","Mixing Bonds and Stocks; High Minimums",-0.2
"9","1994-01-01","Look for Union Label: Vikings Triumph",0.2
"10","1994-01-01","Review/Operetta; Slightly Italianate British Goings-On",-0.2
"11","1994-01-01","U.A.W. Wants Trade Payoff in Jobs",0
"12","1994-01-01","Sanders Restless Again",-0.5
"13","1994-01-01","Robbers Steal Diamonds",-0.666666666666667
"14","1994-01-01","Driver Charged in Fatal Dragging",-0.75
"15","1994-01-01","Victims of Bias Try to Steer Skinheads Off Road to Hate",-0.285714285714286
"16","1994-01-01","Doctors Behind Bars Balance Safety and Care",0.166666666666667
"17","1994-01-01","Sorting Out Discount Brokers And Their Puzzling Prices",-0.2
"18","1994-01-01","Will Year of Balladur Lead to Elysee Palace?",0.333333333333333
"19","1994-01-01","The Sanctions Weapon, Blunted",-0.333333333333333
"20","1994-01-01","America West Ousts President",-0.25
"21","1994-01-01","BUSINESS DIGEST",0
"22","1994-01-01","Outgunned Guard Foils Robbery in Queens",-0.2
"23","1994-01-01","A New Look at Crown Heights",0
"24","1994-01-01","New Mayor Exhorts, Old One Leaves",0
"25","1994-01-01","Uncertainty On Next Step In Crown Hts.",0
"26","1994-01-02","Mostly Modernist",0
"27","1994-01-02","Hopes for '94: Faster Rebound Than in '93",0.333333333333333
"28","1994-01-02","For Cities in Middle Age, Growing Pains Are Real",0
"29","1994-01-02","After 31 Years of Failure, Badgers Find the Time Is Right",0
"30","1994-01-02","Michael S. Davis, Barbara L. Myers",0
"31","1994-01-02","Repairing a Leaky Faucet Can Make a Household Hero",0.285714285714286
"32","1994-01-02","Lawyers, Class Actions and Fees",0
"33","1994-01-02","Dishonor for a Hero President",0
"34","1994-01-02","Today's Special: Advice for Restaurateurs",0.25
"35","1994-01-02","IN SHORT: NONFICTION",-0.5
"36","1994-01-02","F.Y.I.",0
"37","1994-01-02","Africa, Out in the Cold",-0.5
"38","1994-01-02","Piers With More Than a View",0
"39","1994-01-02","Elizabeth O'Connell and Horatio Potter",0
"40","1994-01-02","The Enormity of It All",0
"41","1994-01-02","The County's New Year Wish",0
"42","1994-01-02","Corrections",1
"43","1994-01-02","It's Grand Slam Season, So Who's Ready?",0
"44","1994-01-02","CUOMO TO PROPOSE PACKAGE OF CUTS IN NEW YORK TAXES",-0.285714285714286
"45","1994-01-02","An Experiment In Housing the Homeless",0.333333333333333
"46","1994-01-02","Science Fiction",0
"47","1994-01-02","REALITY LAND",0
"48","1994-01-02","Keeping Doors Shut",0
"49","1994-01-02","World Markets; A New Leaf for Japan's Mutual Funds?",0.142857142857143
"50","1994-01-02","LONG ISLAND JOURNAL",0
"51","1994-01-03","By Land and Air Smith Fires Dallas",-0.2
"52","1994-01-03","Outlook '94; Contrarians Take Heart",0.25
"53","1994-01-03","In America, an Economic Upswing Cheers the Forecasters",0.4
"54","1994-01-03","Whether It's Bluejeans or Mini-Motors or Power Plants . . .: Levi Straus; American Symbol With a Cause",0.1
"55","1994-01-03","Ayala Levin, David Kruss",0
"56","1994-01-03","Topics of The Times; A Double Dose for Children",-0.2
