"","main","kicker","section_name","pub_date"
"16","Key Rates","THE MARKETS","Business","1999-01-01"
"45","Poland's Deficit Falls $113 Million in Month","INTERNATIONAL BRIEFS","Business","1999-01-01"
"51","BUSINESS DIGEST",NA,"Business","1999-01-01"
"54","Ukrainian Auto Venture Halts Assembly Line","INTERNATIONAL BRIEFS","Business","1999-01-01"
"73","Small Phone Companies May Benefit in Britain","INTERNATIONAL BRIEFS","Technology; Business","1999-01-01"
"87","Korea to Sell Control of Bank to U.S. Investors","INTERNATIONAL BUSINESS","Business","1999-01-01"
"93","Wall Street's Banks Kept To Hierarchy During 1998",NA,"Business","1999-01-01"
"94","2 Peoples Separated By Ocean, Not by Borders","INTERNATIONAL BUSINESS","Technology; Business; Books","1999-01-01"
"115","Singapore Ends Year Falling Into Recession","INTERNATIONAL BRIEFS","Business","1999-01-01"
"118","David C. Adams, 85, a Former Chairman of NBC",NA,"Business; Obituaries","1999-01-01"
"140","Markets Closed",NA,"Business","1999-01-01"
"145","Taiwan Phone Operator Seeks Stake in Rival","INTERNATIONAL BRIEFS","Business","1999-01-01"
"163","Bell Atlantic In Talks to Buy Cellular Giant",NA,"Front Page; Business","1999-01-01"
"166","THE MARKETS: COMMODITIES",NA,"Business","1999-01-01"
"168","AMP of Australia Pursues GIO Purchase","INTERNATIONAL BRIEFS","Business","1999-01-01"
"170","Stocks Soar Phoenix-Like in Big 4th-Quarter Turnaround",NA,"Business","1999-01-01"
"172","COMPANY BRIEFS",NA,"Business","1999-01-01"
"175","Indonesian Economy Shrank 13.7% in Year","INTERNATIONAL BRIEFS","Business","1999-01-01"
"186","For Cadbury, Candy Looks Sweeter Than Soda","INTERNATIONAL BUSINESS","Business","1999-01-02"
"234","INTERNATIONAL BUSINESS: Riches May Roil Caspian Nations; They Surely Need Money, but Can They Survive a Bonanza?",NA,"Business","1999-01-02"
"249","Era May End For Floating Currencies","INTERNATIONAL BUSINESS","Business","1999-01-02"
"256","Soft Oil Prices Take Their Toll On Wildcatters",NA,"Front Page; Business","1999-01-02"
"270","For Oilfield Workers, Not the Best of Times",NA,"Business","1999-01-02"
"276","BUSINESS DIGEST",NA,"Business","1999-01-02"
"289","Late Rallies Fail to Lift Asian Stocks","INTERNATIONAL BUSINESS","Business","1999-01-02"
"295","Markets Closed",NA,"Business","1999-01-02"
"296","Edward M. Mervosh, 57, Business Journalist",NA,"Business; Obituaries","1999-01-02"
"313","A Mad Rush to Convert I.R.A.'s","INVESTING: FUNDS WATCH","Business","1999-01-03"
"332","Trouble, A Desk Away","WORKING","Business","1999-01-03"
"340","Going Along for the Ride In the Auto Racing Rush","INVESTING","Business","1999-01-03"
"363","The Joint Is Still Jumping, But the Floor Is Shaking","ECONOMIC VIEW","Business","1999-01-03"
"392","The New Faces of Retirement",NA,"Business","1999-01-03"
"406","Sitting Pretty With Zero Down","PERSONAL BUSINESS","Business","1999-01-03"
"416","DataBank: December 28-31; The Nasdaq, the Bull's New Corral",NA,"Business","1999-01-03"
"436","Private Sector; Down for the Count, a Stock Becomes a Net Heavyweight",NA,"Technology; Business","1999-01-03"
"438","Private Sector; A 'Hound Dog' Hunts on Wall St.",NA,"Business","1999-01-03"
"475","Helping Traders Confront Their Fears","INVESTING","Technology; Health; Business","1999-01-03"
"525","INVESTING WITH: Jim Callinan; Robertson Stephens Emerging Growth",NA,"Business","1999-01-03"
"565","Linking Acquisitions To Executives' Esteem","INVESTING: DIARY","Business","1999-01-03"
"574","IN MY... SHOULDER BAG: MICHAEL J. KOSS",NA,"Technology; Business","1999-01-03"
"588","Time for Some Plain Talk","MARKET WATCH","Business","1999-01-03"
"590","New Money, New Sign. But How to Type It?","BUSINESS: DIARY","Technology; Business","1999-01-03"
"591","Guide to Bonds: Risky, Arcane, But Essential","INVESTING","Business","1999-01-03"
"613","Dreaming the Impossible Dream",NA,"Business","1999-01-03"
"656","Private Sector; Prepare for Departure. Quickly.",NA,"Business","1999-01-03"
"680","To Forecast 1999, Don't Dwell on '98","STRATEGIES","Business","1999-01-03"
"685","Delicate Holiday Questions",NA,"Business; Opinion","1999-01-03"
"689","Delicate Holiday Questions",NA,"Business; Opinion","1999-01-03"
"698","Business; Playing 'The Price Is Right' With Windows",NA,"Technology; Business","1999-01-03"
"704","Private Sector; Ballooning? It's Just So 1870's",NA,"Business","1999-01-03"
"708","Private Sector; Ballooning? It's Just So 1870's",NA,"Business","1999-01-03"
"727","Cashing In, and Staying Put","SENIORITY","Business","1999-01-03"
"735","To the Beat of the Bleat, Ranchers Aim to Satisfy the Demand for Goat","BUSINESS","Business","1999-01-03"
"738","Surprise! Even The Boss Has a Heart","ON THE JOB","Business","1999-01-03"
"753","Singing Those Retirement Blues","PERSONAL BUSINESS: DIARY","Business","1999-01-03"
"760","Philanthropy, From the Rest of Us",NA,"Business; Opinion","1999-01-03"
"771","Disclaimers Are Hazardous To Our Health","THE CULTURE OF MONEY","Business","1999-01-03"
"781","On-Line Searches For Off-Line Work","PERSONAL BUSINESS: DIARY","Technology; Business","1999-01-03"
"787","Private Sector; Another Day, Another $100 Million",NA,"Business","1999-01-03"
"798","Strong Medicine for Oxford","OUTLOOK 1999: MARKETS & INVESTING -- 1998 HIGHLIGHTS","Health; Business","1999-01-04"
"801","After 4 Years of Optimism, Not Giving Up Now","OUTLOOK 1999: MARKETS & INVESTING","Business","1999-01-04"
"807","90's Mantra: Bull Market To Carry On","OUTLOOK 1999: MARKETS & INVESTING","Business","1999-01-04"
"810","5 Problems Tarnishing a Robust Economy","OUTLOOK 1999: ECONOMY & INDUSTRY -- ECONOMIC SCENE","Education; Business","1999-01-04"
"813","Bitten by the Beetle Bug","OUTLOOK 1999: ECONOMY & INDUSTRY -- 1998 HIGHLIGHTS","Business","1999-01-04"
"815","With Euro, Europe Reinvents Itself","OUTLOOK 1999: INTERNATIONAL","Business","1999-01-04"
"819","New York Investigation Firm Plans to Buy Internet Consultant",NA,"Technology; Business","1999-01-04"
"820","The Urge to Merge Continues Among Telecommunications Concerns","OUTLOOK 1999: MEDIA & TECHNOLOGY -- 1998 HIGHLIGHTS","Technology; Business","1999-01-04"
"823","Sewing a Label on a Decade","OUTLOOK 1999: ECONOMY & INDUSTRY","Business","1999-01-04"
"824","Foreign Stocks Are Down But Aren't Necessarily Out","OUTLOOK 1999: MARKETS & INVESTING","Health; Business","1999-01-04"
"826","Steps Get Trickier for 4 Countries Still Dancing Alone","OUTLOOK 1999: INTERNATIONAL --","Business","1999-01-04"
"834","Stocks, Bonds, Money: the Funds Party On","OUTLOOK 1999: MARKETS & INVESTING -- MUTUAL FUNDS","Business","1999-01-04"
"836","Madison Avenue Waltzes to the Beat of the Market Share Drum","OUTLOOK 1999: MEDIA & TECHNOLOGY -- ADVERTISING","Business","1999-01-04"
"844","Broadcast Network Executives Struggle to Reinvigorate Their Business","OUTLOOK 1999: MEDIA & TECHNOLOGY -- TELEVISION","Business","1999-01-04"
"848","The Fed Seeks an Even Keel","OUTLOOK 1999: ECONOMY & INDUSTRY -- 1998 HIGHLIGHTS","Business","1999-01-04"
"850","I.R.S. Anticipates Year 2000 Well Ahead, Early in 1999","OUTLOOK 1999: ECONOMY & INDUSTRY -- TAXES","Technology; Business","1999-01-04"
"855","The Small Get Big And the Big Get Bigger","OUTLOOK 1999: MEDIA & TECHNOLOGY -- INTERNET COMPANIES","Technology; Business","1999-01-04"
"856","Companies Refocus Efforts As the Litigation Cloud Lifts","OUTLOOK 1999: ECONOMY & INDUSTRY -- TOBACCO","Business","1999-01-04"
"858","A Frenzy of Cross-Border Mergers","OUTLOOK 1999: INTERNATIONAL -- 1998 HIGHLIGHTS","Business","1999-01-04"
"861","Equity Offering Is Set",NA,"Business","1999-01-04"
"868","Euro Makes Asian Debut",NA,"Business","1999-01-04"
"869","Striving to Keep a Loose Hold on a Tight Ship","OUTLOOK 1999: MARKETS & INVESTING -- MANAGEMENT","Business","1999-01-04"
"871","Bell Atlantic Continues Talks For Acquisition of Airtouch",NA,"Technology; Business","1999-01-04"
"873","With a Difficult Road Ahead, H.M.O.'s Are Set for Many More Mergers","OUTLOOK 1999: ECONOMY & INDUSTRY -- HEALTH CARE","Business","1999-01-04"
"876","World Economies On a Tightrope","OUTLOOK 1999: ECONOMY & INDUSTRY --","Business","1999-01-04"
"877","Treasury Offers Bills and Notes",NA,"Business","1999-01-04"
"884","John D. McDonald, 92, Author of a Classic on Business Strategy",NA,"Business; Obituaries; Books","1999-01-04"
"886","The Year's Top Media Buys","OUTLOOK 1999: MEDIA & TECHNOLOGY","Business","1999-01-04"
"887","A Decidedly Drab Year for Many Fashion Companies","OUTLOOK 1999: ECONOMY & INDUSTRY -- 1998 HIGHLIGHTS","Business","1999-01-04"
"888","Dividend Meetings",NA,"Business","1999-01-04"
"897","Going Out With a Big Ad Bang1","OUTLOOK 1999: MEDIA & TECHNOLOGY -- 1998 HIGHLIGHTS","Business","1999-01-04"
"902","Unthinkable Happened Throughout Oil Industry","OUTLOOK 1999: ECONOMY & INDUSTRY -- ENERGY","Business","1999-01-04"
"904","Asia Regains Confidence As Its Stability Returns","OUTLOOK 1999: INTERNATIONAL","Business","1999-01-04"
"905","A Joust With Inflation, Recession and Mountainous Foreign Debt","OUTLOOK 1999: INTERNATIONAL -- BRAZIL","Business","1999-01-04"
"906","George Jackson Eder, 98, Expert On Latin American Economics",NA,"Business; Obituaries","1999-01-04"
"908","A Flurry of Home Improvements","OUTLOOK 1999: MARKETS & INVESTING -- 1998 HIGHLIGHTS","Business","1999-01-04"
"911","A Surge in Popularity of Software That Unlocks the Code","OUTLOOK 1999: MEDIA & TECHNOLOGY","Technology; Business","1999-01-04"
"917","Economic Calendar",NA,"Business","1999-01-04"
"919","New Technology Revives Old Debate","OUTLOOK 1999: MARKETS & INVESTING -- PATENTS","Technology; Business","1999-01-04"
