"","main","kicker","section_name","pub_date"
"26","Recent Commercial Real Estate","Transactions","Business Day","2014-01-01 00:00:00"
"39","Markets Buoyant, Merger Activity Picks Up","U.S. Merger Activity in ’13: Back at the Trillion-Dollar Level","Business Day","2014-01-01 16:32:52"
"40","A Stock Exchange Expands Its Global Reach","An Exchange Expands Its Global Reach","Business Day","2014-01-01 16:25:09"
"41","Would You Rather Run a Restaurant or Sell Tomato Sauce?",NA,"Business Day","2014-01-01 16:00:31"
"63","The Best Small-Business Posts of 2013",NA,"Business Day","2014-01-01 07:00:45"
"69","Shorter Workweeks Are Likely in New Year",NA,"Business Day","2014-01-01 00:01:56"
"72","Patricia Ryan, a Managing Editor at Time Inc., Dies at 75","Patricia Ryan, 75, an Editor at Time Inc. ","Business Day","2014-01-01 00:00:00"
"104","U.S. Solar Panel Maker Seeks to Close Loophole in Duties on Chinese Products","U.S. Solar Panel Maker Seeks to Close Loophole in Duties on Chinese Products ","Business Day","2014-01-01 00:00:00"
"126","House Prices Rise Again, but the Pace Could Slow","House Prices Rise Again, But the Pace Could Slow","Business Day","2014-01-01 00:00:00"
"129","District Judge Upholds Government’s Right to Search Electronics at Border","District Judge Upholds Government&#8217;s Right to Search Electronics at Border","Business Day","2014-01-01 00:00:00"
"162","In Latvia, a New Year Also Rings In the Euro","In Latvia, A New Year Also Rings In The Euro","Business Day","2014-01-01 00:00:00"
"166","Chinese Businessman Seeking Stake in Times Co.","Chinese Businessman Seeking Stake in Times Co.","Business Day","2014-01-01 00:00:00"
"173","Global Optimism for 2014, With an Eye on Dormant Risks","Optimism Abroad, With an Eye on Risks","Business Day","2014-01-01 00:00:00"
"175","S.& P. Up 30% in Year in Biggest Increase Since 1997","Wall Street Closes Out Year on Upswing","Business Day","2014-01-01 00:00:00"
"183","China Ends Year as Asia’s Weakest Market",NA,"Business Day","2014-01-01 00:00:00"
"216","Regulator of Wall Street Loses Its Hard-Charging Chairman","Regulator of Wall Street Loses Its Hard-Charging Chairman","Business Day","2014-01-02 20:46:59"
"225","CMAX Solar Technology",NA,"Business Day","2014-01-02 17:50:37"
"235","Regulator Plans to Increase Visibility of Its BrokerCheck Website","Stronger Regulation","Business Day","2014-01-02 15:50:59"
"237","Ebullience Over 2013 I.P.O. Market Spills Into New Year","Ebullience Over I.P.O.’s Carries Over In New Year","Business Day","2014-01-02 15:41:15"
"255","Chrysler Deal Puts Fiat Chief in the Fast Lane",NA,"Business Day","2014-01-02 13:19:34"
"256","Joseph Lieberman Joins Private Equity Firm","New Role","Business Day","2014-01-02 13:13:51"
"280","Repsol Completes Sale of Natural Gas Assets to Shell","Acquisition Is Completed","Business Day","2014-01-02 08:11:00"
"281","Fiat Gaining Full Ownership of Chrysler ",NA,"Business Day","2014-01-02 07:42:35"
"298","Plotting Strategic Deals",NA,"Business Day","2014-01-02 01:10:20"
"301","Talk Radio on WABC Shifts Focus to the Local","Talk Radio on WABC Shifts to Local","Business Day","2014-01-02 00:00:00"
"302","New Venture for AllThingsD Journalists","New Venture for AllThingsD Journalists","Business Day","2014-01-02 00:00:00"
"303","The Rich Country Trap",NA,"Business Day","2014-01-02 00:01:40"
