"","main","kicker","section_name","pub_date"
"27","Detroit Plays Catch-Up In Race for Hybrid Car; With Fewer Subsidies, Japan Is Ahead",NA,"Business","2000-01-01"
"29","Tax Lawyer Called Architect of a Tax-Evasion Scheme",NA,"Business","2000-01-01"
"44","Year-End Stock Tables",NA,"Corrections; Editors' Notes; Business","2000-01-01"
"52","THE MARKETS: CURRENCIES",NA,"Business","2000-01-01"
"65","BUSINESS DIGEST",NA,"Business","2000-01-01"
"129","Between Wall Street and Silicon Valley, a New Lexicon",NA,"Technology; Business","2000-01-01"
"142","Key Rates","THE MARKETS","Business","2000-01-01"
"163","COMPANY BRIEFS",NA,"Business","2000-01-01"
"169","Toward Dow 3,000,000 and Other Millennial Ruminations","THE MARKETS: STOCKS","Business","2000-01-01"
"192","Radioactive Waste and Unpaid Bills","INTERNATIONAL BUSINESS","Business","2000-01-01"
"233","Optimist Then. Optimist Now.","MARKET INSIGHT","Business","2000-01-02"
"249","A Look at the Numbers in Internet Commerce",NA,"Technology; Business","2000-01-02"
"280","Stock-Option Warriors","PERSONAL BUSINESS: DIARY","Business","2000-01-02"
"307","Another Cover Curse at Time Inc.?","PRIVATE SECTOR","Business","2000-01-02"
"312","Latin Stocks: A Wild but Upbeat Ride?","INVESTING","Business","2000-01-02"
"320","Putting a Period on a Dot-Com Year","MARKET WATCH","Business; Books","2000-01-02"
"322","To Be Michael Jordan's, Or, Perhaps, Not to Be . . .","PRIVATE SECTOR","Business","2000-01-02"
"347","A Revolution Built In Mr. Ford's Factory","ECONOMIC VIEW","Business","2000-01-02"
"424","Welcome to Paradise","PERSONAL BUSINESS","Business","2000-01-02"
"426","On the Retirement Road, 65 Is Still Their Limit","SENIORITY","Business","2000-01-02"
"443","Maybe the 15 Minutes Aren't Up","BUSINESS: DIARY","Technology; Business","2000-01-02"
"445","It's Never Just Black Or White","ON THE CONTRARY","Business","2000-01-02"
"456","Online Tax Service, Under Revision","PERSONAL BUSINESS: DIARY","Technology; Business","2000-01-02"
